timestamp,gx,gy,gz,rms_gyro,ang_speed_now,jerk_gyro,max_ang_speed
1755690624.566009,0,0,0,0.0,0.0,0.0,0.0
1755690624.626256,0,0,0,0.0,0.0,0.0,0.0
1755690624.6834462,0,0,0,0.0,0.0,0.0,0.0
1755690624.740336,0,0,0,0.0,0.0,0.0,0.0
1755690624.7968864,0,0,0,0.0,0.0,0.0,0.0
1755690624.8519363,0,0,0,0.0,0.0,0.0,0.0
1755690624.9085243,0,0,0,0.0,0.0,0.0,0.0
1755690624.965669,0,0,0,0.0,0.0,0.0,0.0
1755690625.0209897,0,0,0,0.0,0.0,0.0,0.0
1755690625.0782053,0,0,0,0.0,0.0,0.0,0.0
1755690625.135159,0,0,0,0.0,0.0,0.0,0.0
1755690625.1920013,0,0,0,0.0,0.0,0.0,0.0
1755690625.2491105,0,0,0,0.0,0.0,0.0,0.0
1755690625.306153,0,0,0,0.0,0.0,0.0,0.0
1755690625.3625176,0,0,0,0.0,0.0,0.0,0.0
1755690625.4190874,0,0,0,0.0,0.0,0.0,0.0
1755690625.4756067,0,0,0,0.0,0.0,0.0,0.0
1755690625.5321496,0,0,0,0.0,0.0,0.0,0.0
1755690625.5891266,0,0,0,0.0,0.0,0.0,0.0
1755690625.6459298,0,0,0,0.0,0.0,0.0,0.0
1755690625.702535,0,0,0,0.0,0.0,0.0,0.0
1755690625.7593253,0,0,0,0.0,0.0,0.0,0.0
1755690625.8160658,0,0,0,0.0,0.0,0.0,0.0
1755690625.8730404,0,0,0,0.0,0.0,0.0,0.0
1755690625.9300606,0,0,0,0.0,0.0,0.0,0.0
1755690625.9869192,0,0,0,0.0,0.0,0.0,0.0
1755690626.0436618,0,0,0,0.0,0.0,0.0,0.0
1755690626.1002905,0,0,0,0.0,0.0,0.0,0.0
1755690626.156916,0,0,0,0.0,0.0,0.0,0.0
1755690626.2138424,0,0,0,0.0,0.0,0.0,0.0
1755690626.270927,0,0,0,0.0,0.0,0.0,0.0
1755690626.3280735,0,0,0,0.0,0.0,0.0,0.0
1755690626.3852043,0,0,0,0.0,0.0,0.0,0.0
1755690626.4422917,0,0,0,0.0,0.0,0.0,0.0
1755690626.4989877,0,0,0,0.0,0.0,0.0,0.0
1755690626.5553381,0,0,0,0.0,0.0,0.0,0.0
1755690626.6121275,0,0,0,0.0,0.0,0.0,0.0
1755690626.6689262,0,0,0,0.0,0.0,0.0,0.0
1755690626.7253835,0,0,0,0.0,0.0,0.0,0.0
1755690626.781993,0,0,0,0.0,0.0,0.0,0.0
1755690626.838241,0,0,0,0.0,0.0,0.0,0.0
1755690626.8944576,0,0,0,0.0,0.0,0.0,0.0
1755690626.9510849,0,0,0,0.0,0.0,0.0,0.0
1755690627.0080268,0,0,0,0.0,0.0,0.0,0.0
1755690627.064445,0,0,0,0.0,0.0,0.0,0.0
1755690627.1208959,0,0,0,0.0,0.0,0.0,0.0
1755690627.177426,0,0,0,0.0,0.0,0.0,0.0
1755690627.2339704,0,0,0,0.0,0.0,0.0,0.0
1755690627.290797,0,0,0,0.0,0.0,0.0,0.0
1755690627.34813,0,0,0,0.0,0.0,0.0,0.0
1755690627.4048915,0,0,0,0.0,0.0,0.0,0.0
1755690627.4620774,0,0,0,0.0,0.0,0.0,0.0
1755690627.5186095,0,0,0,0.0,0.0,0.0,0.0
1755690627.575496,0,0,0,0.0,0.0,0.0,0.0
1755690627.6320994,0,0,0,0.0,0.0,0.0,0.0
1755690627.6886873,0,0,0,0.0,0.0,0.0,0.0
1755690627.7434697,0,0,0,0.0,0.0,0.0,0.0
1755690627.7989542,0,0,0,0.0,0.0,0.0,0.0
1755690627.8561373,0,0,0,0.0,0.0,0.0,0.0
1755690627.9133162,0,0,0,0.0,0.0,0.0,0.0
1755690627.9706807,0,0,0,0.0,0.0,0.0,0.0
