timestamp,ax,ay,az,rms,tilt_now,jerk,tilt_crosses,freq
1755688541.4357367,9.872,-0.062,0.801,0.4936,85.36135509724845,0.4948370927318296,1,0.75
1755688541.5571733,9.638,-0.086,0.76,0.6898322767165943,85.49147638793906,0.5065664160401002,1,0.05
1755688541.5946934,9.779,-0.017,0.784,0.8455416444504671,85.41630514020919,0.5136340852130326,1,0.05
1755688541.7495604,9.824,-0.07,0.663,0.9778640562470838,86.13918699543474,0.515889724310777,1,0.05
1755688541.80674,9.729,-0.046,0.713,1.0921775107554632,85.80855843372468,0.5206516290726817,1,0.05
1755688541.8626137,9.838,0.039,0.734,1.1978386055725536,85.73317741797558,0.5261152882205514,1,0.05
1755688541.918209,9.671,-0.103,0.684,1.2917576891584581,85.95461172747632,0.5344862155388471,1,0.05
1755688541.9741542,9.912,0.014,0.725,1.3835668713510019,85.81663062828488,0.5465664160401004,1,0.05
1755688542.0297265,9.659,-0.062,0.72,1.465434403171974,85.73703669107414,0.559248120300752,1,0.05
1755688542.0854328,9.852,-0.007,0.786,1.546011885465309,85.43856202274281,0.568922305764411,1,0.05
1755688542.1410067,9.743,-0.058,0.763,1.6209465976706328,85.5222346545857,0.5743859649122808,1,0.05
1755688542.19672,9.743,0.007,0.72,1.6925669839034434,85.77357073343168,0.5743859649122808,1,0.05
1755688542.2523608,9.771,-0.024,0.746,1.7616651490848085,85.63404333748525,0.5757894736842106,1,0.05
1755688542.323884,9.686,-0.098,0.725,1.8270223281339504,85.71959426976717,0.5800501253132833,1,0.05
1755688542.3800273,9.812,-0.017,0.746,1.89174494779291,85.6522100725411,0.5863659147869675,1,0.05
1755688542.4364114,9.633,-0.082,0.708,1.9520977613838912,85.79662170746545,0.5953383458646617,1,0.05
1755688542.4924383,9.895,0.031,0.782,2.013818073337311,85.48133918651503,0.6084711779448623,1,0.05
1755688542.5483074,9.752,-0.161,0.739,2.072007961495322,85.6670350682158,0.615639097744361,1,0.05
1755688542.6042821,9.736,-0.017,0.703,2.128424589338321,85.87006072676354,0.6164411027568923,1,0.05
1755688542.6605158,9.85,-0.058,0.753,2.184661869145887,85.6285049251005,0.622155388471178,1,0.05
1755688542.7177367,9.764,-0.005,0.817,2.2385456713009004,85.216934166853,0.6264661654135338,1,0.05
1755688542.773907,9.748,-0.06,0.71,2.290992248459169,85.83427070051494,0.6272681704260652,1,0.05
1755688542.8299186,9.669,-0.118,0.758,2.341446003007543,85.51780504834247,0.6312280701754386,1,0.05
1755688542.8856227,9.984,0.027,0.734,2.3940697619325966,85.79532983650554,0.647017543859649,1,0.05
