timestamp,ax,ay,az,gx,gy,gz,rms_acc,tilt_now,jerk_acc,tilt_crosses,freq_acc,rms_gyro,ang_speed_now,jerk_gyro,max_ang_speed
1755687370.051567,9.798,-0.781,1.863,0.0449,-0.4093,-0.2068,0.6928232242065793,79.26749168557522,0.9847236180904522,1,0.1,0.003174909447527599,0.4607697255679891,0.004512562814070352,0.4607697255679891
1755687370.1157954,9.442,-1.23,0.817,-0.1116,-0.5397,-0.2413,0.9621646636620991,85.0958446928669,1.020502512562814,1,0.1,0.008506047848442895,0.6016280744779119,0.02024120603015075,0.6016280744779119
1755687370.2114437,9.85,-0.819,0.896,-0.0406,-0.0181,-0.1089,1.1878018942567823,84.82020088781927,1.0615075376884422,1,0.1,0.008977452311207229,0.1176230419603234,0.027376884422110552,0.6016280744779119
1755687370.2984197,9.225,-0.524,0.57,-0.0129,0.1079,-0.1033,1.3551296856758765,86.46994384216457,1.124321608040201,1,0.1,0.009023674417885433,0.14993235141222858,0.030160804020100497,0.6016280744779119
1755687370.3823996,10.542,-0.548,0.851,0.0546,0.1572,-0.0563,1.5466238343566285,85.39101787249288,1.256683417085427,1,0.1,0.009814912123906153,0.17567780167112748,0.036944723618090446,0.6016280744779119
1755687370.466806,9.495,-0.743,0.872,0.018,0.1154,-0.0036,1.6860665496948808,84.76870294219938,1.3619095477386933,1,0.1,0.00989709553353912,0.11685084509750025,0.04062311557788944,0.6016280744779119
1755687370.5540078,9.686,-0.541,0.877,0.0013,0.0653,0.0151,1.8198663110239717,84.83437989207349,1.3811055276381907,1,0.1,0.009897522417251704,0.06703573673795195,0.04230150753768843,0.6016280744779119
1755687370.638991,10.048,-0.454,0.927,0.0103,0.0032,-0.0122,1.9536440080014579,84.73431656274226,1.4174874371859296,1,0.1,0.009924283349441409,0.01628404126744955,0.043206030150753756,0.6016280744779119
1755687370.7396631,9.7,-0.661,0.896,0.0041,0.0312,-0.0363,2.0705494222548757,84.7346420397767,1.452462311557789,1,0.1,0.009928517009100604,0.04804102413562808,0.04382914572864321,0.6016280744779119
1755687370.8236732,9.433,-0.548,0.905,0.0079,-0.0111,-0.0066,2.1753349983393364,84.52899625845897,1.4792964824120602,1,0.1,0.009944219426380334,0.015138692149588087,0.0442110552763819,0.6016280744779119
1755687370.9075453,9.974,-0.517,1.007,0.0143,0.0026,-0.0419,2.2868068862499085,84.24248830833182,1.5336683417085426,1,0.1,0.009995496485918047,0.04434929537208004,0.04485427135678392,0.6016280744779119
1755687370.9910882,9.364,-0.565,1.112,0.0159,0.0417,0.0177,2.3807369058759935,83.23986942282197,1.5949748743718593,1,0.1,0.010058528719449978,0.04801031139244985,0.04501507537688442,0.6016280744779119
1755687371.0744317,9.848,-0.514,0.96,0.0065,0.013,0.0174,2.4804886081173603,84.43982099733292,1.6436180904522613,1,0.1,0.01006902428242181,0.022671788636982305,0.045959798994974876,0.6016280744779119
1755687371.1586514,9.907,-0.514,1.1,0.006,0.0487,-0.0276,2.577511780768422,83.6726926318496,1.6495477386934674,1,0.1,0.010077958622657666,0.0562978685209307,0.04601005025125628,0.6016280744779119
1755687371.242015,9.564,-0.533,1.05,0.0052,-0.0652,-0.0088,2.6647546716348955,83.7444065511444,1.6840201005025128,1,0.1,0.010084664099512686,0.06599636353618281,0.046090452261306536,0.6016280744779119
