timestamp,ax,ay,az,rms,tilt_now,jerk,tilt_crosses,freq
1757391504.4397266,0.492,-0.381,9.741,0.0246,3.655199234830865,0.024661654135338346,0,0.8500000000000001
1757391504.4689448,0.495,-0.373,9.739,0.0348958808457388,3.6414608587630535,0.02481203007518797,0,0.05
1757391504.495326,0.489,-0.372,9.738,0.042608977927192766,3.610263587758359,0.02511278195488722,0,0.05
1757391504.5221722,0.476,-0.369,9.746,0.04880537880193125,3.536227711659367,0.02576441102756892,0,0.05
1757391504.5485182,0.47,-0.376,9.747,0.05416839484422628,3.5336239588834326,0.026065162907268166,0,0.05
1757391504.5765364,0.463,-0.37,9.736,0.05890787298825175,3.483584691981345,0.02641604010025062,0,0.05
1757391504.6017632,0.455,-0.364,9.736,0.06314823829688362,3.424977062180738,0.026817042606516284,0,0.05
1757391504.627453,0.436,-0.36,9.73,0.06680523931549082,3.325755043796452,0.02776942355889724,0,0.05
1757391504.6527483,0.437,-0.356,9.727,0.07028771229738524,3.3164262438845156,0.027819548872180445,0,0.05
1757391504.677913,0.435,-0.357,9.74,0.07357598113515035,3.30664325778599,0.02791979949874686,0,0.05
1757391504.7033553,0.429,-0.349,9.742,0.07663894245094983,3.2490560736813148,0.028220551378446118,0,0.05
1757391504.72876,0.416,-0.346,9.729,0.0794113814260903,3.1832593733694914,0.028872180451127823,0,0.05
1757391504.7538896,0.409,-0.35,9.725,0.08200225606652539,3.1682905518702293,0.02922305764411028,0,0.05
1757391504.7788298,0.41,-0.345,9.741,0.08452585403295255,3.148597259997692,0.02927318295739349,0,0.05
1757391504.8038177,0.41,-0.343,9.722,0.086976261129115,3.147185110463214,0.02927318295739349,0,0.05
1757391504.8287897,0.401,-0.339,9.736,0.08925733863386248,3.0871463524259823,0.029724310776942358,0,0.05
1757391504.853586,0.383,-0.341,9.73,0.091288526113636,3.0169024638094677,0.0306265664160401,0,0.05
1757391504.8785753,0.383,-0.341,9.73,0.091288526113636,3.0169024638094677,0.0306265664160401,0,0.05
1757391504.9033282,0.383,-0.341,9.73,0.091288526113636,3.0169024638094677,0.0306265664160401,0,0.05
1757391504.928025,0.377,-0.337,9.751,0.09321436316362408,2.968576790035159,0.03092731829573935,0,0.05
1757391504.9528983,0.377,-0.337,9.751,0.09321436316362408,2.968576790035159,0.03092731829573935,0,0.05
1757391504.977856,0.379,-0.336,9.738,0.09512108073397821,2.977396671827877,0.03102756892230576,0,0.05
1757391505.0028238,0.379,-0.336,9.738,0.09512108073397821,2.977396671827877,0.03102756892230576,0,0.05
1757391505.0277317,0.358,-0.328,9.743,0.09679065037492,2.852954218272028,0.03208020050125313,0,0.05
1757391505.0526912,0.358,-0.328,9.743,0.09679065037492,2.852954218272028,0.03208020050125313,0,0.05
1757391505.0775998,0.35,-0.345,9.736,0.09835995119966255,2.8897126368068675,0.03248120300751879,0,0.05
1757391505.1026206,0.35,-0.345,9.736,0.09835995119966255,2.8897126368068675,0.03248120300751879,0,0.05
1757391505.1279266,0.334,-0.342,9.745,0.09976757990449603,2.808373737855516,0.033283208020050116,0,0.05
1757391505.1528404,0.334,-0.342,9.745,0.09976757990449603,2.808373737855516,0.033283208020050116,0,0.05
1757391505.1776264,0.325,-0.332,9.744,0.10108230557323077,2.729804801315048,0.03373433583959899,0,0.05
1757391505.2027054,0.325,-0.332,9.744,0.10108230557323077,2.729804801315048,0.03373433583959899,0,0.05
1757391505.227635,0.325,-0.332,9.744,0.10108230557323077,2.729804801315048,0.03373433583959899,0,0.05
1757391505.2529411,0.32,-0.333,9.731,0.10234076655956804,2.7172126789653013,0.03398496240601502,0,0.05
1757391505.278069,0.32,-0.333,9.731,0.10234076655956804,2.7172126789653013,0.03398496240601502,0,0.05
1757391505.3034172,0.322,-0.327,9.752,0.10359943291350585,2.694332788034447,0.03408521303258145,0,0.05
1757391505.328502,0.322,-0.327,9.752,0.10359943291350585,2.694332788034447,0.03408521303258145,0,0.05
1757391505.3540843,0.315,-0.319,9.745,0.10478981343623053,2.6340110328414186,0.034436090225563896,0,0.05
1757391505.380298,0.315,-0.319,9.745,0.10478981343623053,2.6340110328414186,0.034436090225563896,0,0.05
1757391505.4058242,0.325,-0.339,9.736,0.10604229109180922,2.7615644066523135,0.03493734335839598,0,0.05
1757391505.4311013,0.325,-0.339,9.736,0.10604229109180922,2.7615644066523135,0.03493734335839598,0,0.05
1757391505.456835,0.327,-0.332,9.743,0.10729534006656581,2.7383062028865983,0.03503759398496239,0,0.05
1757391505.482859,0.327,-0.332,9.743,0.10729534006656581,2.7383062028865983,0.03503759398496239,0,0.05
1757391505.5084262,0.34,-0.338,9.733,0.10863374245601594,2.8199514044798852,0.035689223057644104,0,0.05
1757391505.5343149,0.34,-0.338,9.733,0.10863374245601594,2.8199514044798852,0.035689223057644104,0,0.05
1757391505.5596344,0.346,-0.346,9.745,0.11000263633204434,2.874532963379205,0.03598997493734335,0,0.05
1757391505.5845332,0.346,-0.346,9.745,0.11000263633204434,2.874532963379205,0.03598997493734335,0,0.05
1757391505.6101782,0.356,-0.335,9.758,0.11143347791395546,2.867889567047238,0.03649122807017543,0,0.05
1757391505.6356614,0.356,-0.335,9.758,0.11143347791395546,2.867889567047238,0.03649122807017543,0,0.05
1757391505.660576,0.356,-0.335,9.758,0.11143347791395546,2.867889567047238,0.03649122807017543,0,0.05
1757391505.6854384,0.371,-0.335,9.759,0.11296690887158062,2.9321860529338695,0.03724310776942355,0,0.05
