timestamp,ax,ay,az,rms,tilt_now,jerk,tilt_crosses,freq
1757329319.7129805,-0.765,0.016,9.74,0.03825,4.491889189832674,0.038345864661654135,0,2.0
1757329319.741839,-0.779,0.023,9.75,0.05459088751797318,4.570064289719662,0.039047619047619046,0,0.05
1757329319.7685153,-0.8,0.032,9.75,0.06767691630090722,4.694418745398037,0.040100250626566414,0,0.05
1757329319.795885,-0.815,0.038,9.74,0.07899827529762912,4.7882865040671545,0.04085213032581453,0,0.05
1757329319.8221276,-0.811,0.023,9.752,0.08879769141143254,4.755819563449518,0.041052631578947354,0,0.05
1757329319.8484647,-0.803,0.016,9.735,0.09745282191912147,4.716349177031968,0.04145363408521302,0,0.05
1757329319.873938,-0.782,-0.009,9.736,0.10500410706253352,4.592467864216044,0.042506265664160395,0,0.05
1757329319.8994715,-0.769,-0.005,9.738,0.11182247090813188,4.515314509383961,0.0431578947368421,0,0.05
1757329319.9245834,-0.766,0.013,9.742,0.11819964043938544,4.496482847826701,0.043308270676691726,0,0.05
1757329319.9498427,-0.779,0.024,9.733,0.12445182802996507,4.578188997153442,0.04395989974937343,0,0.05
1757329319.9750004,-0.808,0.03,9.746,0.13084501327906997,4.742564995183427,0.04541353383458647,0,0.05
1757329320.0008852,-0.824,0.026,9.749,0.13717819615376198,4.8336348928057475,0.046215538847117786,0,0.05
1757329320.026364,-0.82,0.024,9.743,0.14317422079410805,4.812896811881786,0.04641604010025062,0,0.05
1757329320.051733,-0.813,0.02,9.739,0.1488330608433489,4.773355570640676,0.046766917293233075,0,0.05
1757329320.0770268,-0.8,0.013,9.734,0.15411450288665243,4.6989776645614665,0.04741854636591478,0,0.05
1757329320.1021914,-0.771,0.018,9.728,0.15886277883758676,4.532777573793975,0.04887218045112781,0,0.05
1757329320.1275082,-0.771,0.018,9.728,0.15886277883758676,4.532777573793975,0.04887218045112781,0,0.05
1757329320.1527946,-0.767,0.021,9.743,0.1634261453990762,4.502902958814396,0.04907268170426065,0,0.05
1757329320.1782572,-0.767,0.021,9.743,0.1634261453990762,4.502902958814396,0.04907268170426065,0,0.05
1757329320.2037177,-0.78,0.022,9.74,0.16801519276541632,4.58041041675819,0.04972431077694236,0,0.05
1757329320.2288425,-0.78,0.022,9.74,0.16801519276541632,4.58041041675819,0.04972431077694236,0,0.05
1757329320.254127,-0.799,0.035,9.743,0.17269947162629073,4.692673878898429,0.050676691729323306,0,0.05
1757329320.2793398,-0.799,0.035,9.743,0.17269947162629073,4.692673878898429,0.050676691729323306,0,0.05
1757329320.3044486,-0.815,0.041,9.752,0.17744201869906687,4.78326910686777,0.051478696741854624,0,0.05
1757329320.3303273,-0.815,0.041,9.752,0.17744201869906687,4.78326910686777,0.051478696741854624,0,0.05
1757329320.3558207,-0.823,0.027,9.764,0.1821510156436137,4.820608137219197,0.05187969924812029,0,0.05
1757329320.3814068,-0.823,0.027,9.764,0.1821510156436137,4.820608137219197,0.05187969924812029,0,0.05
1757329320.407269,-0.822,0.02,9.751,0.18673029347162715,4.820006317464735,0.0519298245614035,0,0.05
1757329320.4328225,-0.822,0.02,9.751,0.18673029347162715,4.820006317464735,0.0519298245614035,0,0.05
1757329320.4582717,-0.822,0.02,9.751,0.18673029347162715,4.820006317464735,0.0519298245614035,0,0.05
1757329320.4835324,-0.803,0.021,9.75,0.19099797119341347,4.709798098581693,0.052882205513784426,0,0.05
1757329320.5086653,-0.803,0.021,9.75,0.19099797119341347,4.709798098581693,0.052882205513784426,0,0.05
1757329320.5339315,-0.767,0.012,9.744,0.1948100292592761,4.501311577069395,0.05468671679197993,0,0.05
