timestamp,robot_x,robot_y,ref_x,ref_y,error
1757656999.8473253,-1.155493862449695,-0.02364267916211049,-1.152270049174006,-0.07966029299577315,0.05611030236644482
1757656999.948345,-1.1555019834604614,-0.023565871796536242,-1.152270049174006,-0.07966029299577315,0.056187449567580164
1757657000.0489576,-1.1557864571978949,-0.023324820042227135,-1.152270049174006,-0.07966029299577315,0.05644511173069094
1757657000.1495705,-1.1557931430937864,-0.02330276703159251,-1.152270049174006,-0.07966029299577315,0.05646753867108862
1757657000.2501369,-1.1556545604671988,-0.023527887314191753,-1.152270049174006,-0.07966029299577315,0.05623434790495379
1757657000.3507364,-1.1557594564341256,-0.023397754324508635,-1.152270049174006,-0.07966029299577315,0.05637064147907588
1757657000.4514122,-1.1556228662155985,-0.0234717600038713,-1.152270049174006,-0.07966029299577315,0.056288476812722824
1757657000.5520396,-1.155915130712333,-0.02341805874194447,-1.152270049174006,-0.07966029299577315,0.05636023006769571
1757657000.6526961,-1.1557903920881631,-0.0234274070843542,-1.152270049174006,-0.07966029299577315,0.05634297003318085
1757657000.7532313,-1.1557616083416358,-0.02334210961773464,-1.152270049174006,-0.07966029299577315,0.05642631269561597
1757657000.8538272,-1.1557427655257388,-0.023434165428116605,-1.152270049174006,-0.07966029299577315,0.05633326885699053
1757657000.954426,-1.155788394919023,-0.02339636863858685,-1.152270049174006,-0.07966029299577315,0.056373823188184256
1757657001.0550416,-1.155803898264554,-0.023500030919265558,-1.152270049174006,-0.07966029299577315,0.05627133485085264
1757657001.1556349,-1.1559283430658938,-0.023459739655083633,-1.152270049174006,-0.07966029299577315,0.056319493161774016
1757657001.256139,-1.1559445712855332,-0.023449072582468755,-1.152270049174006,-0.07966029299577315,0.05633119396126084
1757657001.3566866,-1.1557431245276508,-0.023688941055521884,-1.152270049174006,-0.07966029299577315,0.05607900222393016
1757657001.457254,-1.1559436240784928,-0.02355018667077169,-1.152270049174006,-0.07966029299577315,0.05623023372156516
1757657001.5578785,-1.1558651202765404,-0.02343343357062111,-1.152270049174006,-0.07966029299577315,0.05634167424782553
1757657001.6584718,-1.1561027871647305,-0.02330189596903498,-1.152270049174006,-0.07966029299577315,0.05648857225960833
1757657001.7590487,-1.1561531361625446,-0.023194965078083274,-1.152270049174006,-0.07966029299577315,0.056598689219917495
1757657001.8596332,-1.156005014089034,-0.023198004600628708,-1.152270049174006,-0.07966029299577315,0.05658568700416169
1757657001.9602187,-1.155821443077265,-0.023322333981533494,-1.152270049174006,-0.07966029299577315,0.05644978321079942
1757657002.0607948,-1.1558403498523369,-0.023429130413591626,-1.152270049174006,-0.07966029299577315,0.05634439361886346
1757657002.1613894,-1.1560097062265087,-0.023270119829438052,-1.152270049174006,-0.07966029299577315,0.05651403953531893
1757657002.261921,-1.1559628915607651,-0.023374098914325958,-1.152270049174006,-0.07966029299577315,0.05640720458476723
1757657002.3624463,-1.1560070597127714,-0.02332046308810687,-1.152270049174006,-0.07966029299577315,0.05646363149666882
1757657002.4629734,-1.1560942908479526,-0.023247625513401537,-1.152270049174006,-0.07966029299577315,0.05654214248556007
1757657002.5635445,-1.1561229003355038,-0.023290735588093914,-1.152270049174006,-0.07966029299577315,0.05650107489606104
